machine,target,slope,intercept,r.squared,efficiency
one,16s,-3.1247857142857165,32.0023118566981,0.9710272803704906,2.0894017030652177
one,acanthamoeba_spp,-3.5356785714285723,34.30786681618787,0.982107112042117,1.917922878129985
one,adenovirus_40_41,-3.6435357142857145,33.96770007928606,0.9825474630080328,1.8813027020847581
one,anclyostoma_duoenale,-3.4680714285714296,35.64442147232248,0.9984237175810208,1.9424269521333248
one,astrovirus,-2.635837837837838,36.44428583205319,0.9877510064954526,2.39544393040845
one,balantidium_coli,-3.5433214285714287,34.839457271633506,0.9917856675468358,1.915230635175363
one,bhv,-3.300678571428572,34.584659621376936,0.964282059929829,2.008944803054539
one,blastocystis_spp,-3.299107142857144,35.78154890023056,0.9892541003947287,2.0096124561106525
one,brsv,-3.0719428571428566,36.940237091360956,0.9929959630495732,2.1160546927072597
one,c_jejuni_c_coli,-3.713571428571431,35.13139445972831,0.9580341563464434,1.8590135459898627
one,clostridium_difficile,-3.4487142857142867,34.02465499170779,0.9907541404188356,1.9496790867978633
one,cryptosporidium_spp,-3.5705714285714296,33.91589026398014,0.9670299343998324,1.9057556505863669
one,cyclospora_cayetanesis,-3.6920714285714302,35.09913933339454,0.9907143155184552,1.8657380323610302
one,e_coli_ybbW,-3.2789999999999995,43.05452567932848,0.9995748843323591,2.0182317208019684
one,e_coli_0157H7,-3.49925,34.47770269610645,0.9919149052319747,1.930969985749489
one,eaec_aaic,-3.1388214285714295,31.40668391472947,0.975441172413422,2.082528328903048
one,eaec_aata,-3.37275,32.85178964382372,0.9926679081438212,1.9792194899746136
one,entamoeba_histolytica,-3.3427142857142877,35.13297855489945,0.9932940372343885,1.9913980782115075
one,enterobius_verminularis,-3.4922500000000003,35.52014454866223,0.9955411223990214,1.9335185488797877
one,enterococcus_spp,-3.2895000000000016,35.02183780855987,0.9980071707199936,2.0137129733560335
one,epec_bfpa,-2.972857142857143,32.57321933779973,0.9982503215419153,2.16958536150283
one,epec_eae,-3.1436,34.598650938914815,0.9985741295020899,2.0802073634403686
one,etec_lt,-2.7706785714285727,32.15452095326793,0.9938255371735153,2.29573848456295
one,etec_sth,-3.2042285714285694,34.94345466978184,0.9987303198499169,2.0515759462628647
one,etec_stp,-3.0585142857142853,33.01939920602663,0.996322863181582,2.1230300034897045
one,giardia_spp,-2.857214285714289,32.468393901006685,0.9424411095846252,2.238676035248475
one,helicobactor_pylori,-3.027285714285716,33.44544565738448,0.9963896639410657,2.1395818898292243
one,hep_a,-2.861457142857141,35.77789047976671,0.979651275968298,2.236002562024587
one,hf183,-2.8970285714285713,33.00175577835123,0.9880380607035955,2.214018622463066
one,human_mtdna,-3.0052142857142883,33.80497142992632,0.9947761014373417,2.1515674899573143
one,necator_americanus,-2.93,35.7690377588241,0.9430465037650954,2.194304674724597
one,norovirus_gi,-3.490771428571425,38.93372738311608,0.9742998885253674,1.9340586066856391
one,norovirus_gii,-3.07065714285714,36.62931533250094,0.9946053045974845,2.1167189108571467
one,plesiomonas_shigeeloides,-2.968392857142858,33.323560542370714,0.9798427337955414,2.172114088609935
one,rotavirus,-3.145500000000002,38.248483051030114,0.9952663526539675,2.0792872044393733
one,salmonella_enterica,-3.0197999999999996,33.746387084447214,0.991259594571888,2.143619791541242
one,sapovirus_i_ii_iv_v,-3.4177000000000017,37.84320742123848,0.9924958190464658,1.9615276520881286
one,sars_cov_2,-2.948114285714287,34.18935036026516,0.9870066653421009,2.183734703848328
one,shigella_eiec,-3.0738571428571455,34.17954106844275,0.988284393734066,2.115067160738525
one,stec_stx1,-3.037750000000001,35.1719213024415,0.9968544867824773,2.1339832835863652
one,stec_stx2,-3.2075714285714265,35.32001045198957,0.9989133655078372,2.0500400613844563
one,strongyloides_stercolaris,-3.0328214285714297,33.9667197065736,0.9932969393174482,2.136613529747037
one,tichuris_trichuira,-2.957857142857142,34.17870102325349,0.995095986864424,2.1781239416105262
one,yersinia_enterocolitica,-3.221714285714285,33.889541325432475,0.9959947626044949,2.0435899425478676
one,zika,-3.125685714285712,37.491766611709636,0.9936818457252592,2.0889584328792457
two,16s,-3.1993928571428576,31.62545820515056,0.9683113625955647,2.0538054527179477
two,acanthamoeba_spp,-3.7008214285714294,34.64637273198553,0.9909350655217699,1.862988960898792
two,adenovirus_40_41,-3.990000000000002,35.2910011860604,0.9703523627103798,1.7808468253246816
two,anclyostoma_duoenale,-3.5901785714285728,36.30330422945252,0.9933776726116467,1.8990555874217194
two,astrovirus,-3.257999999999999,39.409736951281545,0.9965699311000613,2.027387530490558
two,balantidium_coli,-3.6236071428571437,35.57726995981295,0.9969679740409706,1.8878527025306517
two,bhv,-3.7119285714285724,35.94077221229606,0.9720435418178378,1.8595237762870105
two,blastocystis_spp,-3.1552500000000014,35.37547781762333,0.9895686031447485,2.074589126457549
two,brsv,-3.164942857142855,37.93891098223547,0.9940619259954843,2.0699577004889935
two,c_jejuni_c_coli,-3.441642857142859,34.58901388940627,0.9818183824369321,1.9523555475950338
two,clostridium_difficile,-3.8221785714285725,35.24574160597104,0.9837541743286183,1.8265471811933138
two,cryptosporidium_spp,-3.422607142857145,33.864977848506584,0.9890938747311352,1.959633834706367
two,cyclospora_cayetanesis,-3.3594285714285723,34.08967570579396,0.99063488235435615,1.9845848500669607
two,e_coli_ybbW,-2.556885714285713,39.521866206324106,0.9574290619725836,2.4609386159779048
two,e_coli_0157H7,-3.347642857142858,32.898131011481894,0.9767935438759773,1.9893795433630694
two,eaec_aaic,-3.462035714285715,33.27919750116613,0.9965557065892671,1.944676632687857
two,eaec_aata,-3.592357142857145,33.71647720974311,0.9908505719726918,1.8983170965079266
two,entamoeba_histolytica,-3.2787857142857137,34.71101967189943,0.9619463676129536,2.018324347343847
two,enterobius_verminularis,-3.4051428571428572,34.70162395732469,0.9971245459190066,1.9664071068427356
two,enterococcus_spp,-3.121392857142859,34.53567592217084,0.9962627718510646,2.0910759074417866
two,epec_bfpa,-3.1633571428571465,33.67215431348924,0.9962778030866233,2.070712735678071
two,epec_eae,-3.194785714285716,34.6902493761666,0.9957070797408335,2.055938118265318
two,etec_lt,-3.1211785714285725,33.83795287141882,0.9977866240549391,2.0911818139513256
two,etec_sth,-2.7975000000000034,33.40757042477683,0.9750831936459554,2.277519057356214
two,etec_stp,-3.312785714285716,33.9525997998033,0.9723709038552626,2.0038294539868633
two,giardia_spp,-2.9970357142857162,32.816113088128944,0.9960776291386987,2.1560708311757484
two,helicobactor_pylori,-3.1486,34.135522123128624,0.9915513733120364,2.077789147955532
two,hep_a,-3.2665000000000006,37.17180857930054,0.9960572616461321,2.0236624269144348
two,hf183,-2.8256071428571436,32.916243915083584,0.9860745853299306,2.258948033080774
two,human_mtdna,-3.024285714285714,33.872751518284765,0.9897626113136458,2.1411968189860975
two,necator_americanus,-3.1002857142857136,36.64338399452535,0.995611342142933,2.101604148034339
two,norovirus_gi,-3.103542857142856,37.412002986898244,0.9951879362014696,2.0999666729510262
two,norovirus_gii,-3.157000000000002,36.901838783055815,0.9938518500433411,2.073750072985529
two,plesiomonas_shigeeloides,-2.927371428571427,33.07808262198026,0.9904254378110351,2.195853634675835
two,rotavirus,-3.2670000000000012,37.94698926330166,0.9913210184027146,2.0234441194738872
two,salmonella_enterica,-3.28277142857143,35.0328863958988,0.9992077219738306,2.0166041669407013
two,sapovirus_i_ii_iv_v,-3.2219000000000007,34.70321156640086,0.9632730773304762,2.0435057552186127
two,sars_cov_2,-3.2651428571428553,35.835413389392755,0.9977092000363336,2.024255431561083
two,shigella_eiec,-3.1132571428571425,34.04765742861911,0.9968501321686037,2.095110841301079
two,stec_stx1,-2.9157857142857155,34.519551582749564,0.9870177459336442,2.2027272829575297
two,stec_stx2,-3.2084857142857137,35.19827642091248,0.999046698600777,2.049620747632925
two,strongyloides_stercolaris,-3.243642857142859,34.56996209048453,0.9969251854682054,2.0337396086985127
two,tichuris_trichuira,-3.1279285714285727,34.9048003986789,0.9988127672828357,2.0878552938052355
two,yersinia_enterocolitica,-3.1442285714285716,33.63266712588264,0.9992414179598839,2.0799027817670943
two,zika,-3.6510285714285695,39.334730615245675,0.9771201641436943,1.8788643188801184
three,16s,-3.117285714285716,31.79145873953848,0.9779651423715255,2.0931092536083313
three,acanthamoeba_spp,-3.773000000000001,34.57027004386113,0.9865550700496455,1.840946134485119
three,adenovirus_40_41,-3.548000000000001,33.92124795764396,0.9924022084568422,1.913590159448014
three,anclyostoma_duoenale,-3.6173928571428595,36.43648145865621,0.9899189516942848,1.8899146390517465
three,astrovirus,-2.8522000000000003,37.717253815974594,0.9854167745854605,2.241849991328247
three,balantidium_coli,-3.645964285714287,35.661234830148636,0.9690274651653346,1.8805109332500622
three,bhv,-3.8753214285714304,34.722174305518394,0.9764644092010549,1.811519910014297
three,blastocystis_spp,-3.859928571428572,36.43694039091256,0.9742848844615877,1.8158173088604774
three,brsv,-3.13525714285714,37.16573970544532,0.9968126519106746,2.084265811437901
three,c_jejuni_c_coli,-3.3681428571428587,34.49551048409914,0.9886616813478387,1.9810686285934187
three,clostridium_difficile,-3.4115714285714294,33.606661323053345,0.9941294758945556,1.9639030906622728
three,cryptosporidium_spp,-3.7194285714285726,34.859482472312834,0.9787335468512379,1.8571992671013502
three,cyclospora_cayetanesis,-3.4147500000000006,34.059281385631884,0.9864113777357064,1.9626696509724013
three,e_coli_ybbW,-2.3811142857142844,38.507449941093164,0.9262330608187921,2.6300950381059716
three,e_coli_0157H7,-3.4862857142857147,34.29086067522033,0.989518384660235,1.9357007718968715
three,eaec_aaic,-3.6822500000000016,33.56551875480116,0.9679432144634156,1.8688441572369838
three,eaec_aata,-3.7382142857142853,31.79672817121195,0.9707133994030142,1.8514304587019952
three,entamoeba_histolytica,-3.4653214285714298,35.96672771031633,0.9864491780183612,1.9434506597560541
three,enterobius_verminularis,-3.3680714285714286,34.95385610067041,0.9950404799643275,1.981097350847868
three,enterococcus_spp,-3.0315357142857158,33.95423854491862,0.9961650112484828,2.1373016217742324
three,epec_bfpa,-3.1214857142857144,33.01971781559196,0.9947507536151238,2.0910300208021617
three,epec_eae,-3.0094642857142873,33.88505003174617,0.9927709133136311,2.149240684815673
three,etec_lt,-2.9353999999999987,32.77500149491788,0.9886455001744193,2.1911346870232107
three,etec_sth,-3.0685428571428557,34.12773321931645,0.9920173727670665,2.1178128451376845
three,etec_stp,-2.981371428571429,32.24795807815621,0.9888873457666137,2.164791667629723
three,giardia_spp,-2.8897428571428576,32.47221967183013,0.9705468393776385,2.2184597406502733
three,helicobactor_pylori,-3.477250000000003,35.29461268055084,0.9724824429500851,1.9390257611109973
three,hep_a,-3.372300000000001,37.829681313937,0.9994440830939196,1.9793998048641515
three,hf183,-3.000514285714285,33.68669346914628,0.9968364568042932,2.15415128473499
three,human_mtdna,-3.1794857142857125,34.3594235524723,0.9931441838582831,2.063080974049654
three,necator_americanus,-3.297257142857142,37.25718367435447,0.9987411407778605,2.010399566291846
three,norovirus_gi,-2.8103857142857143,36.179406328224005,0.962200098146243,2.268940170276142
three,norovirus_gii,-3.1480714285714297,37.33742656875015,0.8734437919792528,2.0780442920031774
three,plesiomonas_shigeeloides,-2.948392857142858,33.3722662817059,0.985809729485237,2.183573562702954
three,rotavirus,-3.1531000000000016,38.1555094478471,0.9991686782887778,2.075621704257116
three,salmonella_enterica,-3.1147857142857163,34.313072333507336,0.9972997662986567,2.0943505387461943
three,sapovirus_i_ii_iv_v,-2.63172972972973,34.46292021215212,0.9775018370265673,2.3987126655395032
three,sars_cov_2,-2.9718214285714306,34.71762831549909,0.98128273117837,2.1701710871812034
three,shigella_eiec,-3.192535714285716,34.429157343270376,0.9776480218243662,2.056982696691177
three,stec_stx1,-3.2914857142857126,36.19033807886194,0.9987329063378517,2.0128627824488134
three,stec_stx2,-3.0060857142857125,34.05273088393692,0.99189110364104,2.1510896555454146
three,strongyloides_stercolaris,-2.8552857142857144,32.97636263471468,0.9891426458901262,2.239894936397123
three,tichuris_trichuira,-3.0241428571428566,34.26598377016437,0.9959033481888657,2.141273830724556
three,yersinia_enterocolitica,-3.1982500000000016,33.802629172848086,0.9988592786381917,2.0543337067306204
three,zika,-2.853464285714288,36.07367211694885,0.9667941769206533,2.2410482442562585
