Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Efficiency	Amp Score	Cq Conf	BADROX	NOAMP	EXPFAIL	THOLDFAIL	PRFLOW	PRFDROP
1	A1	false	10^6	16s	UNKNOWN	FAM	NFQ-MGB	12.863	12.863					true	0.040	true	1	45						0.968	0.572	N	N	N	Y	N	N
1	A1	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.603	26.603					true	0.040	true	1	45						1.062	0.882	N	N	N	Y	N	N
2	A2	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.602	26.602					true	0.040	true	1	45						1.040	0.914	N	N	N	Y	N	N
2	A2	false	10^6	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	12.933	12.933					true	0.130	true	1	45						1.255	0.676	N	N	N	Y	N	N
3	A3	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.567	26.567					true	0.040	true	1	45						1.072	0.901	N	N	N	Y	N	N
3	A3	false	10^6	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	12.331	12.331					true	0.045	true	1	45						1.091	0.485	N	N	N	Y	N	N
4	A4	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.149	28.149					true	0.040	true	1	45						0.977	0.558	N	N	N	Y	N	N
4	A4	false	10^6	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	14.195	14.195					true	0.165	true	1	45						1.344	0.976	N	N	N	Y	N	N
5	A5	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.371	26.371					true	0.040	true	1	45						1.087	0.910	N	N	N	Y	N	N
5	A5	false	10^6	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	N	N	Y	N	N
6	A6	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.540	26.540					true	0.040	true	1	45						1.075	0.886	N	N	N	Y	N	N
6	A6	false	10^6	astrovirus	UNKNOWN	FAM	NFQ-MGB	22.207	22.207					true	0.101	true	1	45						1.203	0.753	N	N	N	Y	N	N
7	A7	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	29.014	29.014					true	0.040	true	1	45						0.947	0.657	N	N	N	Y	N	N
7	A7	false	10^6	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	13.596	13.596					true	0.316	true	1	45						1.413	0.952	N	N	N	Y	N	N
8	A8	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.416	26.416					true	0.040	true	1	45						1.065	0.852	N	N	N	Y	N	N
8	A8	false	10^6	bhv	UNKNOWN	FAM	NFQ-MGB	14.718	14.718					true	0.040	true	1	45						0.914	0.492	N	N	N	Y	N	N
9	A9	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.612	28.612					true	0.040	true	1	45						0.954	0.682	N	N	N	Y	N	N
9	A9	false	10^6	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	15.418	15.418					true	0.040	true	1	45						1.038	0.814	N	N	N	Y	N	N
10	A10	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	24.596	24.596					true	0.040	true	1	45						1.078	0.778	N	N	N	Y	N	N
10	A10	false	10^6	brsv	UNKNOWN	FAM	NFQ-MGB	20.535	20.535					true	0.155	true	1	45						1.322	0.949	N	N	N	Y	N	N
11	A11	false	10^6	18s	UNKNOWN	FAM	NFQ-MGB	32.904	32.904					true	0.121	true	1	45						1.189	0.987	N	N	N	Y	N	N
11	A11	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.983	26.983					true	0.040	true	1	45						1.081	0.865	N	N	N	Y	N	N
12	A12	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.965	26.965					true	0.040	true	1	45						1.037	0.875	N	N	N	Y	N	N
12	A12	false	10^6	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	13.655	13.655					true	0.111	true	1	45						1.302	0.897	N	N	N	Y	N	N
13	A13	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	N	Y	Y	N	N
13	A13	false	10^6	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	12.314	12.314					true	0.122	true	1	45						1.309	0.966	N	N	Y	Y	N	N
14	A14	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.074	27.074					true	0.040	true	1	45						1.043	0.873	N	N	N	Y	N	N
14	A14	false	10^6	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	13.461	13.461					true	0.062	true	1	45						1.167	0.900	N	N	N	Y	N	N
15	A15	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.904	25.904					true	0.040	true	1	45						1.067	0.844	N	N	N	Y	N	N
15	A15	false	10^6	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	13.427	13.427					true	0.132	true	1	45						1.257	0.862	N	N	N	Y	N	N
16	A16	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.418	26.418					true	0.040	true	1	45						1.050	0.899	N	N	N	Y	N	N
16	A16	false	10^6	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	22.922	22.922					true	0.218	true	1	45						1.299	0.956	N	N	N	Y	N	N
