Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Efficiency	Amp Score	Cq Conf	BADROX	NOAMP	NOISE	EXPFAIL	THOLDFAIL	PRFLOW	PRFDROP
1	A1	false	10^6	16s	UNKNOWN	FAM	NFQ-MGB	11.873	11.873					true	0.040	true	1	45						0.965	0.669	N	N	N	N	Y	N	N
1	A1	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.830	26.830					true	0.040	true	1	45						1.010	0.938	N	N	N	N	Y	N	N
2	A2	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.614	26.614					true	0.040	true	1	45						1.014	0.975	N	N	N	N	Y	N	N
2	A2	false	10^6	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	12.649	12.649					true	0.133	true	1	45						1.279	0.646	N	N	N	N	Y	N	N
3	A3	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.800	26.800					true	0.040	true	1	45						1.051	0.955	N	N	N	N	Y	N	N
3	A3	false	10^6	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	12.515	12.515					true	0.059	true	1	45						1.134	0.455	N	N	N	N	Y	N	N
4	A4	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	32.781	32.781					true	0.040	true	1	45						0.904	0.696	N	N	N	N	Y	N	N
4	A4	false	10^6	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	13.871	13.871					true	0.207	true	1	45						1.391	0.964	N	N	N	N	Y	N	N
5	A5	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.030	26.030					true	0.040	true	1	45						1.048	0.898	N	N	N	N	Y	N	N
5	A5	false	10^6	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.200	true	1	45						0.000	0.000	N	N	N	N	Y	N	N
6	A6	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.240	26.240					true	0.040	true	1	45						1.069	0.962	N	N	N	N	Y	N	N
6	A6	false	10^6	astrovirus	UNKNOWN	FAM	NFQ-MGB	22.755	22.755					true	0.118	true	1	45						1.257	0.633	N	N	N	N	Y	N	N
7	A7	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	30.806	30.806					true	0.040	true	1	45						0.940	0.557	N	N	N	N	Y	N	N
7	A7	false	10^6	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	12.907	12.907					true	0.410	true	1	45						1.487	0.942	N	N	N	N	Y	N	N
8	A8	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.469	26.469					true	0.040	true	1	45						1.062	0.923	N	N	N	N	Y	N	N
8	A8	false	10^6	bhv	UNKNOWN	FAM	NFQ-MGB	14.864	14.864					true	0.040	true	1	45						0.969	0.435	N	N	N	N	Y	N	N
9	A9	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.750	27.750					true	0.040	true	1	45						0.984	0.654	N	N	N	N	Y	N	N
9	A9	false	10^6	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	15.152	15.152					true	0.040	true	1	45						1.087	0.661	N	N	N	N	Y	N	N
10	A10	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	23.965	23.965					true	0.040	true	1	45						1.075	0.795	N	N	N	N	Y	N	N
10	A10	false	10^6	brsv	UNKNOWN	FAM	NFQ-MGB	21.235	21.235					true	0.252	true	1	45						1.366	0.911	N	N	N	N	Y	N	N
11	A11	false	10^6	18s	UNKNOWN	FAM	NFQ-MGB	33.332	33.332					true	0.139	true	1	45						1.247	0.890	N	N	N	N	Y	N	N
11	A11	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.795	26.795					true	0.040	true	1	45						1.073	0.884	N	N	N	N	Y	N	N
12	A12	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.723	26.723					true	0.040	true	1	45						1.046	0.919	N	N	N	N	Y	N	N
12	A12	false	10^6	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	13.059	13.059					true	0.161	true	1	45						1.360	0.988	N	N	N	N	Y	N	N
13	A13	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	N	N	Y	Y	N	N
13	A13	false	10^6	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	12.498	12.498					true	0.160	true	1	45						1.353	0.890	N	N	N	Y	Y	N	N
14	A14	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.034	26.034					true	0.040	true	1	45						1.065	0.870	N	N	N	N	Y	N	N
14	A14	false	10^6	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	12.446	12.446					true	0.070	true	1	45						1.227	0.800	N	N	N	N	Y	N	N
15	A15	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.575	25.575					true	0.040	true	1	45						1.066	0.907	N	N	N	N	Y	N	N
15	A15	false	10^6	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	13.506	13.506					true	0.161	true	1	45						1.290	0.812	N	N	N	N	Y	N	N
16	A16	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.444	26.444					true	0.040	true	1	45						1.052	0.919	N	N	N	N	Y	N	N
16	A16	false	10^6	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	22.990	22.990					true	0.258	true	1	45						1.346	0.941	N	N	N	N	Y	N	N
17	A17	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	Y	N	Y	Y	N	N
17	A17	false	10^6	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	13.222	13.222					true	0.106	true	1	45						1.367	0.909	N	Y	N	Y	Y	N	N
18	A18	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.063	27.063					true	0.040	true	1	45						1.045	0.872	N	N	N	N	Y	N	N
18	A18	false	10^6	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	11.243	11.243					true	0.051	true	1	45						1.198	0.520	N	N	N	N	Y	N	N
19	A19	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.591	28.591					true	0.040	true	1	45						0.983	0.908	N	N	N	N	Y	N	N
19	A19	false	10^6	eaec_aata	UNKNOWN	FAM	NFQ-MGB	12.516	12.516					true	0.040	true	1	45						1.014	0.402	N	N	N	N	Y	N	N
20	A20	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.283	26.283					true	0.040	true	1	45						1.049	0.895	N	N	N	N	Y	N	N
20	A20	false	10^6	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	15.131	15.131					true	0.119	true	1	45						1.247	0.711	N	N	N	N	Y	N	N
21	A21	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	29.195	29.195					true	0.040	true	1	45						0.953	0.776	N	N	N	N	Y	N	N
21	A21	false	10^6	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	13.707	13.707					true	0.248	true	1	45						1.412	0.981	N	N	N	N	Y	N	N
22	A22	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.041	26.041					true	0.040	true	1	45						1.037	0.912	N	N	N	N	Y	N	N
22	A22	false	10^6	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	16.683	16.683					true	0.181	true	1	45						1.306	0.925	N	N	N	N	Y	N	N
23	A23	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.810	27.810					true	0.040	true	1	45						0.958	0.701	N	N	N	N	Y	N	N
23	A23	false	10^6	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	15.843	15.843					true	0.122	true	1	45						1.245	0.843	N	N	N	N	Y	N	N
24	A24	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	20.073	20.073					true	0.040	true	1	45						1.039	0.335	N	N	N	N	Y	N	N
