Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Y-Intercept	R(superscript 2)	Slope	Efficiency	Amp Score	Cq Conf	NOAMP	EXPFAIL	THOLDFAIL	PRFDROP
1	A1	false	10^6	16s	UNKNOWN	FAM	NFQ-MGB	11.727	11.727					true	0.042	true	1	45						0.969	0.592	N	N	Y	N
1	A1	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.128	27.128					true	0.040	true	1	45						1.043	0.917	N	N	Y	N
2	A2	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.715	26.715					true	0.040	true	1	45						1.012	0.951	N	N	Y	N
2	A2	false	10^6	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	12.582	12.582					true	0.170	true	1	45						1.251	0.705	N	N	Y	N
3	A3	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.775	26.775					true	0.040	true	1	45						1.053	0.966	N	N	Y	N
3	A3	false	10^6	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	11.938	11.938					true	0.102	true	1	45						1.085	0.532	N	N	Y	N
4	A4	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.692	28.692					true	0.040	true	1	45						0.940	0.529	N	N	Y	N
4	A4	false	10^6	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	14.495	14.495					true	0.232	true	1	45						1.374	0.985	N	N	Y	N
5	A5	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.075	27.075					true	0.040	true	1	45						1.061	0.935	N	Y	Y	N
5	A5	false	10^6	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	Y	Y	N
6	A6	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.457	26.457					true	0.040	true	1	45						1.054	0.892	N	N	Y	N
6	A6	false	10^6	astrovirus	UNKNOWN	FAM	NFQ-MGB	22.576	22.576					true	0.246	true	1	45						1.248	0.912	N	N	Y	N
7	A7	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	30.001	30.001					true	0.040	true	1	45						0.940	0.673	N	N	Y	N
7	A7	false	10^6	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	13.233	13.233					true	0.411	true	1	45						1.453	0.987	N	N	Y	N
8	A8	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.399	26.399					true	0.040	true	1	45						1.069	0.903	N	N	Y	N
8	A8	false	10^6	bhv	UNKNOWN	FAM	NFQ-MGB	12.026	12.026					true	0.054	true	1	45						0.917	0.441	N	N	Y	N
9	A9	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.750	28.750					true	0.040	true	1	45						0.968	0.684	N	N	Y	N
9	A9	false	10^6	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	12.282	12.282					true	0.106	true	1	45						1.089	0.551	N	N	Y	N
10	A10	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	23.782	23.782					true	0.040	true	1	45						1.073	0.791	N	N	Y	N
10	A10	false	10^6	brsv	UNKNOWN	FAM	NFQ-MGB	20.670	20.670					true	0.309	true	1	45						1.361	0.977	N	N	Y	N
11	A11	false	10^6	18s	UNKNOWN	FAM	NFQ-MGB	29.719	29.719					true	0.153	true	1	45						1.223	0.968	N	N	Y	N
11	A11	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.743	26.743					true	0.040	true	1	45						1.070	0.916	N	N	Y	N
12	A12	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.187	27.187					true	0.040	true	1	45						1.032	0.908	N	N	Y	N
12	A12	false	10^6	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	13.464	13.464					true	0.203	true	1	45						1.315	0.960	N	N	Y	N
13	A13	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	44.460	44.460					true	0.040	true	1	45						0.000	0.000	N	N	Y	N
13	A13	false	10^6	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	12.206	12.206					true	0.162	true	1	45						1.338	0.980	N	N	Y	N
14	A14	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.896	26.896					true	0.040	true	1	45						1.056	0.895	N	N	Y	N
14	A14	false	10^6	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	12.758	12.758					true	0.133	true	1	45						1.195	0.958	N	N	Y	N
15	A15	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	24.961	24.961					true	0.040	true	1	45						1.071	0.817	N	N	Y	N
15	A15	false	10^6	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	13.076	13.076					true	0.228	true	1	45						1.256	0.862	N	N	Y	N
16	A16	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.548	26.548					true	0.040	true	1	45						1.046	0.927	N	N	Y	N
16	A16	false	10^6	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	22.398	22.398					true	0.289	true	1	45						1.347	0.943	N	N	Y	N
17	A17	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	Y	Y	Y	N
17	A17	false	10^6	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	12.710	12.710					true	0.192	true	1	45						1.336	0.953	Y	Y	Y	N
18	A18	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.967	26.967					true	0.040	true	1	45						1.063	0.943	N	N	Y	N
18	A18	false	10^6	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	11.189	11.189					true	0.115	true	1	45						1.177	0.698	N	N	Y	N
19	A19	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.312	28.312					true	0.040	true	1	45						0.978	0.927	N	N	Y	N
19	A19	false	10^6	eaec_aata	UNKNOWN	FAM	NFQ-MGB	9.302	9.302					true	0.040	true	1	45						0.952	0.397	N	N	Y	N
20	A20	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.917	26.917					true	0.040	true	1	45						1.056	0.892	N	N	Y	N
20	A20	false	10^6	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	13.407	13.407					true	0.208	true	1	45						1.219	0.624	N	N	Y	N
21	A21	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	28.202	28.202					true	0.040	true	1	45						0.998	0.863	N	N	Y	N
21	A21	false	10^6	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	13.374	13.374					true	0.356	true	1	45						1.388	0.970	N	N	Y	N
22	A22	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.849	26.849					true	0.040	true	1	45						1.026	0.857	N	N	Y	N
22	A22	false	10^6	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	16.150	16.150					true	0.253	true	1	45						1.288	0.940	N	N	Y	N
23	A23	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.965	27.965					true	0.040	true	1	45						0.937	0.746	N	N	Y	N
23	A23	false	10^6	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	15.351	15.351					true	0.158	true	1	45						1.242	0.825	N	N	Y	N
24	A24	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	23.245	23.245					true	0.040	true	1	45						1.035	0.515	N	N	Y	N
24	A24	false	10^6	epec_eae	UNKNOWN	FAM	NFQ-MGB	16.377	16.377					true	0.223	true	1	45						1.312	0.971	N	N	Y	N
25	B1	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.675	27.675					true	0.040	true	1	45						0.936	0.852	N	N	Y	N
25	B1	false	10^6	etec_lt	UNKNOWN	FAM	NFQ-MGB	15.589	15.589					true	0.203	true	1	45						1.350	0.979	N	N	Y	N
26	B2	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.512	26.512					true	0.040	true	1	45						1.035	0.931	N	N	Y	N
26	B2	false	10^6	etec_sth	UNKNOWN	FAM	NFQ-MGB	16.778	16.778					true	0.221	true	1	45						1.342	0.984	N	N	Y	N
27	B3	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.163	27.163					true	0.040	true	1	45						1.026	0.934	N	N	Y	N
27	B3	false	10^6	etec_stp	UNKNOWN	FAM	NFQ-MGB	14.864	14.864					true	0.063	true	1	45						1.153	0.943	N	N	Y	N
28	B4	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.312	27.312					true	0.040	true	1	45						0.994	0.925	N	N	Y	N
28	B4	false	10^6	giardia_spp	UNKNOWN	FAM	NFQ-MGB	15.490	15.490					true	0.191	true	1	45						1.277	0.679	N	N	Y	N
29	B5	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.443	26.443					true	0.040	true	1	45						1.056	0.915	N	N	Y	N
29	B5	false	10^6	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	16.062	16.062					true	0.162	true	1	45						1.219	0.820	N	N	Y	N
30	B6	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.261	25.261					true	0.040	true	1	45						1.079	0.926	N	N	Y	N
30	B6	false	10^6	hep_a	UNKNOWN	FAM	NFQ-MGB	20.468	20.468					true	0.152	true	1	45						1.220	0.732	N	N	Y	N
31	B7	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.586	26.586					true	0.040	true	1	45						1.108	0.905	N	N	Y	N
31	B7	false	10^6	hep_g	UNKNOWN	FAM	NFQ-MGB	26.907	26.907					true	0.255	true	1	45						1.338	0.985	N	N	Y	N
32	B8	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.142	26.142					true	0.040	true	1	45						1.049	0.932	N	N	Y	N
32	B8	false	10^6	hf183	UNKNOWN	FAM	NFQ-MGB	16.353	16.353					true	0.192	true	1	45						1.296	0.887	N	N	Y	N
33	B9	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.122	25.122					true	0.040	true	1	45						1.083	0.918	N	N	Y	N
33	B9	false	10^6	human_mtdna	UNKNOWN	FAM	NFQ-MGB	15.641	15.641					true	0.155	true	1	45						1.210	0.678	N	N	Y	N
34	B10	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.302	27.302					true	0.040	true	1	45						0.996	0.842	N	N	Y	N
34	B10	false	10^6	necator_americanus	UNKNOWN	FAM	NFQ-MGB	18.663	18.663					true	0.122	true	1	45						1.211	0.877	N	N	Y	N
35	B11	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.581	26.581					true	0.040	true	1	45						1.063	0.939	N	N	Y	N
35	B11	false	10^6	norovirus_gi	UNKNOWN	FAM	NFQ-MGB	20.437	20.437					true	0.125	true	1	45						1.228	0.742	N	N	Y	N
36	B12	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.806	26.806					true	0.040	true	1	45						1.055	0.900	N	N	Y	N
36	B12	false	10^6	norovirus_gii	UNKNOWN	FAM	NFQ-MGB	20.405	20.405					true	0.136	true	1	45						1.205	0.964	N	N	Y	N
37	B13	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.017	26.017					true	0.040	true	1	45						1.081	0.927	N	N	Y	N
37	B13	false	10^6	plesiomonas_shigeeloides	UNKNOWN	FAM	NFQ-MGB	15.948	15.948					true	0.211	true	1	45						1.266	0.861	N	N	Y	N
38	B14	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.080	25.080					true	0.040	true	1	45						1.066	0.932	N	N	Y	N
38	B14	false	10^6	rotavirus	UNKNOWN	FAM	NFQ-MGB	21.722	21.722					true	0.245	true	1	45						1.313	0.974	N	N	Y	N
39	B15	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	25.299	25.299					true	0.040	true	1	45						1.070	0.923	N	N	Y	N
39	B15	false	10^6	salmonella_enterica	UNKNOWN	FAM	NFQ-MGB	16.607	16.607					true	0.298	true	1	45						1.399	0.943	N	N	Y	N
40	B16	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.851	26.851					true	0.040	true	1	45						1.071	0.928	N	N	Y	N
40	B16	false	10^6	sapovirus_i_ii_iv_v	UNKNOWN	FAM	NFQ-MGB	19.987	19.987					true	0.110	true	1	45						1.212	0.967	N	N	Y	N
41	B17	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	24.068	24.068					true	0.040	true	1	45						0.891	0.392	N	N	Y	N
41	B17	false	10^6	sars_cov_2	UNKNOWN	FAM	NFQ-MGB	18.765	18.765					true	0.235	true	1	45						1.312	0.900	N	N	Y	N
42	B18	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.431	26.431					true	0.040	true	1	45						1.062	0.936	N	N	Y	N
42	B18	false	10^6	shigella_eiec	UNKNOWN	FAM	NFQ-MGB	16.220	16.220					true	0.231	true	1	45						1.291	0.972	N	N	Y	N
43	B19	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.458	26.458					true	0.040	true	1	45						1.029	0.949	N	N	Y	N
43	B19	false	10^6	stec_stx1	UNKNOWN	FAM	NFQ-MGB	17.218	17.218					true	0.244	true	1	45						1.384	0.976	N	N	Y	N
44	B20	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.730	26.730					true	0.040	true	1	45						1.059	0.922	N	N	Y	N
44	B20	false	10^6	stec_stx2	UNKNOWN	FAM	NFQ-MGB	16.364	16.364					true	0.152	true	1	45						1.279	0.897	N	N	Y	N
45	B21	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	29.831	29.831					true	0.040	true	1	45						0.870	0.591	N	N	Y	N
45	B21	false	10^6	strongyloides_stercolaris	UNKNOWN	FAM	NFQ-MGB	16.677	16.677					true	0.317	true	1	45						1.428	0.984	N	N	Y	N
46	B22	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	29.151	29.151					true	0.040	true	1	45						0.887	0.692	N	N	Y	N
46	B22	false	10^6	tichuris_trichuira	UNKNOWN	FAM	NFQ-MGB	16.716	16.716					true	0.400	true	1	45						1.458	0.978	N	N	Y	N
47	B23	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	26.650	26.650					true	0.040	true	1	45						1.020	0.863	N	N	Y	N
47	B23	false	10^6	yersinia_enterocolitica	UNKNOWN	FAM	NFQ-MGB	15.672	15.672					true	0.115	true	1	45						1.169	0.825	N	N	Y	N
48	B24	false	10^6	IPC	UNKNOWN	VIC	NFQ-MGB	27.071	27.071					true	0.040	true	1	45						1.037	0.841	N	N	Y	N
48	B24	false	10^6	zika	UNKNOWN	FAM	NFQ-MGB	20.312	20.312					true	0.260	true	1	45						1.336	0.956	N	N	Y	N
49	C1	false	10^5	16s	UNKNOWN	FAM	NFQ-MGB	15.283	15.283					true	0.042	true	1	45						1.004	0.641	N	N	Y	N
49	C1	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.772	26.772					true	0.040	true	1	45						1.042	0.970	N	N	Y	N
50	C2	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.097	27.097					true	0.040	true	1	45						1.028	0.943	N	N	Y	N
50	C2	false	10^5	acanthamoeba_spp	UNKNOWN	FAM	NFQ-MGB	13.832	13.832					true	0.170	true	1	45						1.239	0.743	N	N	Y	N
51	C3	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.132	27.132					true	0.040	true	1	45						1.057	0.960	N	N	Y	N
51	C3	false	10^5	adenovirus_40_41	UNKNOWN	FAM	NFQ-MGB	15.869	15.869					true	0.102	true	1	45						1.102	0.557	N	N	Y	N
52	C4	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.808	26.808					true	0.040	true	1	45						0.986	0.422	N	N	Y	N
52	C4	false	10^5	anclyostoma_duoenale	UNKNOWN	FAM	NFQ-MGB	16.990	16.990					true	0.232	true	1	45						1.387	0.986	N	N	Y	N
53	C5	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.282	26.282					true	0.040	true	1	45						1.071	0.958	N	Y	Y	N
53	C5	false	10^5	ascaris_lumbricoides	UNKNOWN	FAM	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	Y	Y	N
54	C6	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.176	26.176					true	0.040	true	1	45						1.065	0.917	N	N	Y	N
54	C6	false	10^5	astrovirus	UNKNOWN	FAM	NFQ-MGB	25.891	25.891					true	0.246	true	1	45						1.251	0.960	N	N	Y	N
55	C7	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.419	27.419					true	0.040	true	1	45						0.982	0.860	N	N	Y	N
55	C7	false	10^5	balantidium_coli	UNKNOWN	FAM	NFQ-MGB	18.204	18.204					true	0.411	true	1	45						1.471	0.987	N	N	Y	N
56	C8	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.020	27.020					true	0.040	true	1	45						1.059	0.915	N	N	Y	N
56	C8	false	10^5	bhv	UNKNOWN	FAM	NFQ-MGB	12.191	12.191					true	0.054	true	1	45						0.963	0.175	N	N	Y	N
57	C9	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.419	27.419					true	0.040	true	1	45						0.991	0.810	N	N	Y	N
57	C9	false	10^5	blastocystis_spp	UNKNOWN	FAM	NFQ-MGB	18.256	18.256					true	0.106	true	1	45						1.108	0.949	N	N	Y	N
58	C10	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.010	26.010					true	0.040	true	1	45						1.068	0.911	N	N	Y	N
58	C10	false	10^5	brsv	UNKNOWN	FAM	NFQ-MGB	24.264	24.264					true	0.309	true	1	45						1.376	0.971	N	N	Y	N
59	C11	false	10^5	18s	UNKNOWN	FAM	NFQ-MGB	32.219	32.219					true	0.153	true	1	45						1.233	0.957	N	N	Y	N
59	C11	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.777	26.777					true	0.040	true	1	45						1.071	0.884	N	N	Y	N
60	C12	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.540	26.540					true	0.040	true	1	45						1.047	0.911	N	N	Y	N
60	C12	false	10^5	c_jejuni_c_coli	UNKNOWN	FAM	NFQ-MGB	18.283	18.283					true	0.203	true	1	45						1.340	0.960	N	N	Y	N
61	C13	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	31.420	31.420					true	0.040	true	1	45						0.872	0.585	N	N	Y	N
61	C13	false	10^5	clostridium_difficile	UNKNOWN	FAM	NFQ-MGB	16.566	16.566					true	0.162	true	1	45						1.347	0.984	N	N	Y	N
62	C14	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.319	26.319					true	0.040	true	1	45						1.054	0.893	N	N	Y	N
62	C14	false	10^5	cryptosporidium_spp	UNKNOWN	FAM	NFQ-MGB	16.082	16.082					true	0.133	true	1	45						1.212	0.951	N	N	Y	N
63	C15	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	23.995	23.995					true	0.040	true	1	45						1.077	0.686	N	N	Y	N
63	C15	false	10^5	cyclospora_cayetanesis	UNKNOWN	FAM	NFQ-MGB	15.831	15.831					true	0.228	true	1	45						1.274	0.892	N	N	Y	N
64	C16	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.680	26.680					true	0.040	true	1	45						1.055	0.915	N	N	Y	N
64	C16	false	10^5	e_coli_ybbW	UNKNOWN	FAM	NFQ-MGB	26.123	26.123					true	0.289	true	1	45						1.328	0.975	N	N	Y	N
65	C17	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	Undetermined						true	0.040	true	1	45						0.000	0.000	N	Y	Y	N
65	C17	false	10^5	e_coli_0157H7	UNKNOWN	FAM	NFQ-MGB	16.927	16.927					true	0.192	true	1	45						1.364	0.976	N	Y	Y	N
66	C18	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.659	26.659					true	0.040	true	1	45						1.058	0.933	N	N	Y	N
66	C18	false	10^5	eaec_aaic	UNKNOWN	FAM	NFQ-MGB	14.527	14.527					true	0.115	true	1	45						1.190	0.708	N	N	Y	N
67	C19	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.198	27.198					true	0.040	true	1	45						1.000	0.905	N	N	Y	N
67	C19	false	10^5	eaec_aata	UNKNOWN	FAM	NFQ-MGB	12.858	12.858					true	0.040	true	1	45						1.010	0.718	N	N	Y	N
68	C20	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.779	26.779					true	0.040	true	1	45						1.041	0.907	N	N	Y	N
68	C20	false	10^5	entamoeba_histolytica	UNKNOWN	FAM	NFQ-MGB	18.452	18.452					true	0.208	true	1	45						1.212	0.800	N	N	Y	N
69	C21	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.049	25.049					true	0.040	true	1	45						1.037	0.633	N	N	Y	N
69	C21	false	10^5	enterobius_verminularis	UNKNOWN	FAM	NFQ-MGB	18.411	18.411					true	0.356	true	1	45						1.443	0.967	N	N	Y	N
70	C22	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.313	27.313					true	0.040	true	1	45						1.041	0.879	N	N	Y	N
70	C22	false	10^5	enterococcus_spp	UNKNOWN	FAM	NFQ-MGB	19.767	19.767					true	0.253	true	1	45						1.304	0.960	N	N	Y	N
71	C23	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.143	27.143					true	0.040	true	1	45						0.986	0.867	N	N	Y	N
71	C23	false	10^5	epec_bfpa	UNKNOWN	FAM	NFQ-MGB	18.077	18.077					true	0.158	true	1	45						1.259	0.834	N	N	Y	N
72	C24	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	24.477	24.477					true	0.040	true	1	45						1.044	0.753	N	N	Y	N
72	C24	false	10^5	epec_eae	UNKNOWN	FAM	NFQ-MGB	19.228	19.228					true	0.223	true	1	45						1.317	0.968	N	N	Y	N
73	D1	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	27.084	27.084					true	0.040	true	1	45						0.954	0.831	N	N	Y	N
73	D1	false	10^5	etec_lt	UNKNOWN	FAM	NFQ-MGB	18.982	18.982					true	0.203	true	1	45						1.325	0.987	N	N	Y	N
74	D2	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	25.316	25.316					true	0.040	true	1	45						1.045	0.782	N	N	Y	N
74	D2	false	10^5	etec_sth	UNKNOWN	FAM	NFQ-MGB	19.289	19.289					true	0.221	true	1	45						1.352	0.958	N	N	Y	N
75	D3	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	28.979	28.979					true	0.040	true	1	45						0.927	0.823	N	N	Y	N
75	D3	false	10^5	etec_stp	UNKNOWN	FAM	NFQ-MGB	18.976	18.976					true	0.063	true	1	45						1.058	0.936	N	N	Y	N
76	D4	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.817	26.817					true	0.040	true	1	45						1.008	0.942	N	N	Y	N
76	D4	false	10^5	giardia_spp	UNKNOWN	FAM	NFQ-MGB	18.776	18.776					true	0.191	true	1	45						1.279	0.717	N	N	Y	N
77	D5	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.486	26.486					true	0.040	true	1	45						1.057	0.918	N	N	Y	N
77	D5	false	10^5	helicobactor_pylori	UNKNOWN	FAM	NFQ-MGB	19.460	19.460					true	0.162	true	1	45						1.249	0.896	N	N	Y	N
78	D6	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.106	26.106					true	0.040	true	1	45						1.086	0.968	N	N	Y	N
78	D6	false	10^5	hep_a	UNKNOWN	FAM	NFQ-MGB	23.884	23.884					true	0.152	true	1	45						1.237	0.785	N	N	Y	N
79	D7	false	10^5	IPC	UNKNOWN	VIC	NFQ-MGB	26.337	26.337					true	0.040	true	1	45						1.094	0.926	N	N	Y	N
