Target Name,plasmid,starting_quant
16s,dna_1,1.45E+06
IPC,NA,NA
acanthamoeba_spp,dna_1,1.45E+06
adenovirus_40_41,dna_1,1.45E+06
anclyostoma_duoenale,dna_1,1.45E+06
ascaris_lumbricoides,dna_1,1.45E+06
astrovirus,rna,1.45E+05
balantidium_coli,dna_1,1.45E+06
bhv,dna_1,1.45E+06
blastocystis_spp,dna_1,1.45E+06
brsv,rna,1.45E+05
18s,NA,NA
c_jejuni_c_coli,dna_1,1.45E+06
clostridium_difficile,dna_1,1.45E+06
cryptosporidium_spp,dna_1,1.45E+06
cyclospora_cayetanesis,dna_1,1.45E+06
e_coli_ybbW,dna_1,1.45E+06
e_coli_0157H7,dna_1,1.45E+06
eaec_aaic,dna_1,1.45E+06
eaec_aata,dna_1,1.45E+06
entamoeba_histolytica,dna_1,1.45E+06
enterobius_verminularis,dna_1,1.45E+06
enterococcus_spp,dna_2,5.10E+05
epec_bfpa,dna_2,5.10E+05
epec_eae,dna_2,5.10E+05
etec_lt,dna_2,5.10E+05
etec_sth,dna_2,5.10E+05
etec_stp,dna_2,5.10E+05
giardia_spp,dna_2,5.10E+05
helicobactor_pylori,dna_2,5.10E+05
hep_a,rna,1.45E+05
hep_g,NA,NA
hf183,dna_2,5.10E+05
human_mtdna,dna_2,5.10E+05
necator_americanus,dna_2,5.10E+05
norovirus_gi,rna,1.45E+05
norovirus_gii,rna,1.45E+05
plesiomonas_shigeeloides,dna_2,5.10E+05
rotavirus,rna,1.45E+05
salmonella_enterica,dna_2,5.10E+05
sapovirus_i_ii_iv_v,rna,1.45E+05
sars_cov_2,rna,1.45E+05
shigella_eiec,dna_2,5.10E+05
stec_stx1,dna_2,5.10E+05
stec_stx2,dna_2,5.10E+05
strongyloides_stercolaris,dna_2,5.10E+05
tichuris_trichuira,dna_2,5.10E+05
yersinia_enterocolitica,dna_2,5.10E+05
zika,rna,1.45E+05
